position,driver_code,team_id,points,fastest_lap,dotd,dnf,positions_gained
1,RUS,mercedes,8,False,False,False,
2,NOR,mclaren,7,False,False,False,
3,ANT,mercedes,6,False,False,False,
4,PIA,mclaren,5,False,False,False,
5,LEC,ferrari,4,False,False,False,
6,HAM,ferrari,3,False,False,False,
7,VER,red_bull,2,False,False,False,
8,LIN,racing_bulls,1,False,False,False,
9,COL,alpine,0,False,False,False,
10,SAI,williams,0,False,False,False,
11,LAW,racing_bulls,0,False,False,False,
12,BOR,audi,0,False,False,False,
13,OCO,haas,0,False,False,False,
14,PER,cadillac,0,False,False,False,
15,HUL,audi,0,False,False,False,
16,STR,aston_martin,0,False,False,False,
17,BOT,cadillac,0,False,False,False,
18,BEA,haas,0,False,False,False,
19,ALB,williams,0,False,False,False,
20,GAS,alpine,0,False,False,False,
21,HAD,red_bull,0,False,False,False,
,ALO,aston_martin,0,False,False,True,
